offense_team_name,defense_team_name,season,week,play_uuid,gsis_play_id,game_id,gsis_game_id,gsis_old_game_id,drive_uuid,play_game_index,play_drive_index,play_quarter,play_quarter_clock_remaining,play_clock_paused,play_start_event_index,play_end_event_index,play_offense_team_id,play_offense_team_short_name,play_defense_team_id,play_defense_team_short_name,play_offense_is_home_team,play_down,play_yards_to_go,play_yardline,play_start_position,play_home_score,play_away_score,play_home_timeouts_remaining,play_away_timeouts_remaining,play_box_players,play_defensive_back_depths,play_linebacker_depths,play_shotgun,play_pre_snap_motion,play_snap_hurried,play_success,play_first_down_won,play_touchdown_won,play_yards_net,play_points_won,play_type,play_included_fake,play_qb_pressure,play_qb_hit,play_qb_sacked,play_pass_yards_air,play_pass_yards_after_catch,play_pass_outcome,play_pass_dropped,play_pass_intercepted,play_pass_interception_dropped,play_time_to_pass,play_pass_batted,play_yards_run,play_penalty_yards,play_penalty_first_down,play_penalty_down_loss,play_penalty_offset,play_return_yards,play_field_goal_result,play_extra_point_result,play_kick_yards,play_kick_hangtime,play_kick_blocked,play_kick_fair_catch,play_kick_downed,play_fumbled,play_fumble_forced,play_fumble_lost,play_fumble_out_of_bounds,play_challenged,play_action_pass,play_points_lost,play_start_position_yards,play_penalty_types,play_explosive,play_offensive_personnel,play_defensive_personnel,play_turnover_type,play_offense_penalty_accepted,play_defense_penalty_accepted,play_offense_flagged,play_defense_flagged,play_tackle_success,play_lateral_success,play_yards_gained,play_epoch_uuid,play_offense_players_left,play_offense_players_right,play_snap_y,play_down_negated,play_point_of_attack_y,play_point_of_attack_dy,play_pocket_front_x,play_pocket_back_x,play_pocket_left_y,play_pocket_right_y,play_qb_exit_pocket_x,play_qb_exit_pocket_y,play_qb_exit_pocket_clock,play_run_gap,play_qb_dropback_depth,play_run_behind_1,play_run_behind_2,play_run_at,play_receiver_screen_pass,play_derived_pressure_gaps,play_pass_air_yards_to_the_sticks,play_pass_within_pocket,play_designed_pass,play_qb_rush,play_pass_thrownaway,play_formation_into_boundary,play_blitz,play_simulated_pressure,play_drop_eight,play_pass_comp_prob,play_catch_prob_with_placement,play_catch_prob_without_placement,play_initial_formation_run_strength,play_initial_formation_pass_strength,play_initial_formation_snap_side,play_initial_formation_fib,play_formation_run_strength,play_formation_pass_strength,play_formation_fib,play_pass_location,play_initial_formation,play_formation,play_punt_snap_time,play_punt_operation_time,play_punt_hang_time,play_net_punt_yards,play_gross_punt_yards,play_punt_roll_yards,play_punt_air_yards,play_punt_return_yards,play_punt_block_point_x,play_punt_block_point_y,play_punt_outcome,play_kickoff_x,play_kickoff_y,play_kickoff_land_x,play_kickoff_land_y,play_kickoff_outcome,play_kick_hang_time,play_kickoff_return_yards,play_kickoff_return_chunk,play_kickoff_return_explosive,play_fg_snap_time,play_fg_operation_time,play_fg_attempted,play_fg_made,play_fg_kick_blocked,play_fg_length,play_xp_snap_time,play_xp_operation_time,play_xp_attempted,play_xp_made,play_xp_kick_blocked,play_motion_type,play_havoc,play_qb_scramble,play_contested_catch_attempt,play_pass_made,play_yards_after_contact,play_target_separation,play_pass_placement_displacement,play_tackle_types,play_catch_separation,play_handoff_received
Tampa Bay Buccaneers,Dallas Cowboys,2021/2022,Week 1,a7e97cac-bb9f-4c7a-82be-7410e02db170,40.0,1502044,2021_01_DAL_TB,2021090900,a7e97cac-bb9f-4c7a-82be-7410e02db170,1,1,1,900000.0,True,2,6,1000947,TB,1001367,DAL,True,,,64.85,,0,0,3,3,0,,,,False,False,,False,False,,0,Kickoff,False,,False,False,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0,0.0,,,False,False,False,False,False,False,,0,0.0,{},,,,,,,False,False,,,0.0,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.85,26.33,-4.2,44.83,Touch-Back,4.5488209999999984,0.0,False,False,,,,,,,,,,,,,,,,,,,,{},,
Tampa Bay Buccaneers,Dallas Cowboys,2021/2022,Week 1,40f5181d-b943-44cb-ab59-4e44c26a1c5a,55.0,1502044,2021_01_DAL_TB,2021090900,a7e97cac-bb9f-4c7a-82be-7410e02db170,2,2,1,900000.0,True,7,48,1000947,TB,1001367,DAL,True,1.0,10.0,24.85,right,0,0,3,3,7,"{1.1835183157271487,6.6028928918506935,11.662195561695178,3.7595036790318446,6.298072301027169}","{3.0232148907921257,3.8112428367677538}",True,True,True,True,False,False,5.1199999999999966,0,Rush,False,,False,False,,,,,,,0.0,,10.31,0.0,,,,0.0,,,0.0,0.0,,,,False,False,False,False,False,,0,3.1633333333333304,{},False,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 0, ""WR"": 4}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",,,,False,False,True,,5.1199999999999966,57c20afe-9fd9-4292-bcb3-2a0f9978e094,2.0,2.0,29.83,False,26.451630237181185,-3.3783697628188136,24.85,14.85,26.48637154045953,32.75088586873026,,,,Left B Gap,,1501028.0,1003199.0,1023957.0,,,,,False,False,,False,,,,,,,,,R,O,L,L,O,,Deuce Left H on,Deuce Left H on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jet,,False,,,4.609999999999999,,,"{""Assisted - Success"",""Solo assisted - Success""}",,
Tampa Bay Buccaneers,Dallas Cowboys,2021/2022,Week 1,b5bda7d2-d9de-4c0b-9669-65a66d4acec1,76.0,1502044,2021_01_DAL_TB,2021090900,a7e97cac-bb9f-4c7a-82be-7410e02db170,3,3,1,857000.0,True,49,104,1000947,TB,1001367,DAL,True,2.0,4.880000000000003,29.97,center,0,0,3,3,7,"{6.203040047152442,12.389988809218934,4.052941748365868,8.252559263922137,6.67721495561797}","{4.1204671740372945,3.554162517773179}",False,True,True,True,False,False,2.910000000000004,0,Rush,False,,False,False,,,,,,,0.0,,7.410000000000004,0.0,,,,0.0,,,0.0,0.0,,,,False,False,False,False,False,,0,-0.8366666666666696,{},False,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",,,,False,False,True,,2.910000000000004,ac1e74a4-8508-49c8-af50-adb05e6f6c19,1.0,3.0,25.88,False,,,29.86,19.86,22.59533674868105,29.152962918495646,,,,,,,,,,,,,False,False,,,,,,,,,,,,,R,R,Y,,,Triple Pair Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,3.3500000000000014,,,"{""Assisted - Success"",""Solo assisted - Success"",""Solo - Missed""}",,
Tampa Bay Buccaneers,Dallas Cowboys,2021/2022,Week 1,77a7a49f-8002-4009-b01c-ffd009753c20,97.0,1502044,2021_01_DAL_TB,2021090900,a7e97cac-bb9f-4c7a-82be-7410e02db170,4,4,1,813000.0,True,105,154,1000947,TB,1001367,DAL,True,3.0,1.9699999999999989,32.88,right,0,0,3,3,8,"{0.8660259924080904,1.7220056958028707,16.22273166009279,5.250605550219376,0.8908551368007593}","{1.9184864298040836,1.1514152937425663}",True,True,True,,False,False,0.0,0,Pass,False,,False,False,18.36,,False,,,,3.3404699999999963,False,0.0,0.0,,,,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,0,3.043333333333333,{},False,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 0, ""WR"": 4}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",,,,False,False,,,0.0,375537ee-003a-40c9-acc1-4fb428087a5c,3.0,1.0,29.54,False,,,32.91,22.91,25.64741223425102,32.585123542286006,,,,,9.868386535887764,,,,,,16.39,True,,,False,False,True,,,0.4727684259,,,,,R,Y,L,L,Y,In,Triple Left,Triple Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In,,,,True,,1.7498005067395423,,{},,
Tampa Bay Buccaneers,Dallas Cowboys,2021/2022,Week 1,183a7382-be28-4779-b5f9-19fcf5ef4f16,119.0,1502044,2021_01_DAL_TB,2021090900,a7e97cac-bb9f-4c7a-82be-7410e02db170,5,5,1,806000.0,True,155,161,1000947,TB,1001367,DAL,True,4.0,1.9699999999999989,33.03,right,0,0,3,3,0,{},{},True,False,True,,False,False,64.92999999999999,0,Punt,False,,False,False,,,,,,,0.0,,0.0,0.0,,,,0.0,,,64.95,0.0,,,False,False,False,False,False,False,,0,2.8633333333333333,{},,,,Turnover from Punt,,,False,False,,,64.92999999999999,,,,29.65,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8265190000000047,2.042222999999993,5.56078500000001,64.95,64.95,0.0300000000000011,64.92,0.0,11.230000000000004,0.120000000000001,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,
Dallas Cowboys,Tampa Bay Buccaneers,2021/2022,Week 1,329716b1-1d4c-43ea-9f57-f27b568a9863,137.0,1502044,2021_01_DAL_TB,2021090900,329716b1-1d4c-43ea-9f57-f27b568a9863,6,1,1,798000.0,True,164,206,1001367,DAL,1000947,TB,False,1.0,10.0,2.019999999999996,left,0,0,3,3,5,"{2.547497702632427,14.76133407250208,8.046105033778545}","{1.5597075973963541,0.031879586169324625,4.127716857447709,4.26591117364481,3.4150181502056824}",True,False,True,True,True,False,28.090000000000003,0,Pass,False,,False,False,22.680000000000007,5.409999999999997,True,False,False,False,2.5903940000000034,False,0.0,0.0,,,,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,0,-3.003333333333334,{},True,"{""OL"": 5, ""QB"": 1, ""RB"": 0, ""TE"": 2, ""WR"": 3}","{""DB"": 3, ""DL"": 3, ""LB"": 5}",,,,False,False,True,,28.090000000000003,7aaa2807-555f-42e5-8b47-263715a79896,2.0,3.0,23.683333333333337,False,,,2.010000000000005,-7.989999999999995,21.07982694052156,27.133523007216667,,,,,8.702910524975138,,,,,,12.680000000000009,True,,,False,False,True,,,0.6158022285,0.9324544072,0.8606027961,,,,,R,R,Y,In,,Empty 3x2 Right F on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,2.980000000000004,3.3009455339676808,0.1362131418035719,"{""Solo - Success""}",3.296495650830409,
Dallas Cowboys,Tampa Bay Buccaneers,2021/2022,Week 1,4e6ed98b-0c12-4c8b-9cba-4dfbc1c8c66f,166.0,1502044,2021_01_DAL_TB,2021090900,329716b1-1d4c-43ea-9f57-f27b568a9863,7,2,1,771000.0,True,207,249,1001367,DAL,1000947,TB,False,1.0,10.0,30.11,left,0,0,3,3,8,"{7.239479025457442,16.31139142795965,3.7268505818722275,3.3291894702184806,8.827862531693455}","{0.3635607526494198,0.14604430225078602,3.7552940419621024,0.3438059090147618}",False,True,True,False,False,False,3.450000000000003,0,Rush,False,,False,False,,,,,,,0.0,,8.480000000000004,0.0,,,,0.0,,,0.0,0.0,,,,False,False,False,False,False,,0,-3.013333333333332,{},False,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 2, ""LB"": 4}",,,,False,False,True,,3.450000000000003,88c9d1e6-14ae-4592-9c34-97450372adfe,,,23.513333333333332,False,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,L,Y,R,R,,,Trey Right Z on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,1.2000000000000028,,,"{""Solo - Success"",""Solo - Missed""}",,
Dallas Cowboys,Tampa Bay Buccaneers,2021/2022,Week 1,96d76786-89e2-4990-bdf5-8772715b54ec,187.0,1502044,2021_01_DAL_TB,2021090900,329716b1-1d4c-43ea-9f57-f27b568a9863,8,3,1,743000.0,True,250,276,1001367,DAL,1000947,TB,False,2.0,6.549999999999997,33.56,center,0,0,3,3,6,"{5.918107115536031,7.951570397090578,10.027304487235796,5.767264650185865,7.036139983234321}","{0.05833962771316692,3.825925373711584,4.15994226352926,0.9705606185668927}",True,False,True,True,False,False,5.489999999999995,0,Pass,False,,False,False,5.230000000000004,0.2599999999999909,True,False,False,False,2.3248370000000023,False,0.0,0.0,,,,0.0,,,0.0,0.0,,,,False,False,False,False,False,False,0,0.206666666666667,{},False,"{""OL"": 5, ""QB"": 1, ""RB"": 0, ""TE"": 2, ""WR"": 3}","{""DB"": 5, ""DL"": 2, ""LB"": 4}",,,,False,False,True,,5.489999999999995,bef438fb-d037-4e10-a324-26375ecccc87,1.0,3.0,26.94333333333333,False,,,33.52,23.52,23.02277159906528,29.448300612112924,,,,,7.459514053514937,,,,,,-1.3199999999999932,True,,,False,,,True,,0.7303791046,0.917134583,0.879599452,,,,,R,R,Y,In,,Triple Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,-0.0100000000000051,2.6028503407915973,0.2290444716643472,"{""Solo - Success""}",2.390322109507637,
Dallas Cowboys,Tampa Bay Buccaneers,2021/2022,Week 1,d41dd7a8-9c8f-4246-914b-b2dc7089501e,211.0,1502044,2021_01_DAL_TB,2021090900,329716b1-1d4c-43ea-9f57-f27b568a9863,9,4,1,708000.0,True,277,327,1001367,DAL,1000947,TB,False,3.0,1.0600000000000025,39.05,right,0,0,3,3,8,"{1.7166829279449445,15.106513379767463,5.307340122163623}","{3.7621920651108525,0.5690417665852578,3.6900637070377655,0.696020382455643}",False,True,True,True,True,False,1.5799999999999983,0,Rush,False,,False,False,,,,,,,0.0,,4.379999999999996,0.0,,,,0.0,,,0.0,0.0,,,,False,False,False,False,False,,0,3.186666666666667,{},False,"{""OL"": 5, ""QB"": 1, ""RB"": 2, ""TE"": 2, ""WR"": 1}","{""DB"": 3, ""DL"": 4, ""LB"": 4}",,,,False,False,True,,1.5799999999999983,25afb71b-f2da-4653-b314-80d3d062a9c5,2.0,1.0,29.773333333333337,False,27.168262255276595,-2.605071078056742,39.16,29.16,26.05308650750535,31.772103838188755,,,,Left B Gap,,1023932.0,1023942.0,1024514.0,,,,,False,False,,False,,,,,,,,,,,R,L,X,,,Big Wing Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,2.539999999999992,,,"{""Solo - Success""}",,
Dallas Cowboys,Tampa Bay Buccaneers,2021/2022,Week 1,1c71ffb1-67d9-47bf-872e-fe5dba7c7032,232.0,1502044,2021_01_DAL_TB,2021090900,329716b1-1d4c-43ea-9f57-f27b568a9863,10,5,1,664000.0,True,328,385,1001367,DAL,1000947,TB,False,1.0,10.0,40.63,center,0,0,3,3,8,"{1.4829615539992176,15.741579098638105,8.42188163460358,1.9977471999937393}","{0.4345659362408725,3.8686235072875093,3.8688742534913274,0.43587330157964743}",False,True,True,True,False,False,4.579999999999998,0,Rush,False,,False,False,,,,,,,0.0,,9.239999999999997,0.0,,,,0.0,,,0.0,0.0,,,,False,False,False,False,False,,0,1.2666666666666693,{},False,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 2, ""WR"": 2}","{""DB"": 4, ""DL"": 3, ""LB"": 4}",,,,False,False,True,,4.579999999999998,8287c036-cb6f-437f-993b-ad80c345f3ff,2.0,2.0,28.46333333333333,False,37.034226427641,8.570893094307667,40.74,30.739999999999995,24.26480095178275,30.67582274080653,,,,Right D Gap,,1025394.0,,1024499.0,,,,,False,False,,,,,,,,,,,R,X,L,L,O,,Doubles Right H on,Twins Pair Right Z on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jet,True,False,,,2.3499999999999943,,,"{""Assisted - Missed"",""Solo assisted - Success""}",,
